脑室外引流术	External Ventricular Drain
这些目标可通过头部稍伸展和向对侧旋转20度完成，这样的头位可扩大额下后内侧手术通道。	These maneuvers expand the posteromedial subfrontal operative corridor and are accomplished by slight head extension and limiting head rotation to 20 degrees.
必须积极地磨除蝶骨嵴直到眶上裂。	The sphenoid wing must be aggressively drilled until the superior orbital fissure is reached.
磨除蝶骨嵴最内侧是最重要的，因为它覆盖了颈动脉池。	Osteotomy of the most medial extent of the wing is the most important because it covers the carotid cistern.
如果最后的骨性部分不去除，就需要更多的抬起额叶才能暴露颈动脉池。	If this last obstruction is not removed, substantially more frontal lobe elevation is needed to expose the cistern.
眶顶也要磨平，使术者获得与眶顶平行的手术角度。	The roof of the orbit is also drilled so that a flat operative trajectory over the orbit is available.
图6：表示朝向PCoA动脉瘤的额后下手术通路（绿色箭头）示意图。	Figure 6: Schematic representation of the posterior subfrontal operative pathway (green arrow) toward the PCoA aneurysm is illustrated.
通过分离外侧裂近端，可直接显露床突上ICA前外侧面。	This pathway is possible via a proximal Sylvian fissure split, leading directly to the anterior and lateral aspects of the supraclinoid ICA.
为避免动脉瘤破裂，应在无颞叶牵拉的情况下早期暴露ICA近端。	Early exposure of the proximal ICA without temporal lobe retraction is necessary to avoid premature sac rupture.
硬膜内操作技巧	INTRADURAL PROCEDURE
初步显露	Initial Exposure
在直接处理动脉瘤前有三个主要目标必须完成。	There are three main goals that must be accomplished before the aneurysm can be directly handled.
第一个目标是分离外侧裂近端。	The first goal is a proximal Sylvian fissure split.
第二个目标是移动额叶，分离附着在视交叉和前颅窝底的蛛网膜小梁。	The second goal is mobilization of the frontal lobe and dissection of its arachnoidal attachments over the chiasm and floor of the frontal fossa.
第三个目标是建立床突上ICA的近端控制。	The third goal is establishing proximal control over the supraclinoid ICA.
显露动脉瘤必须只能通过牵拉额叶。	The aneurysm must be exposed solely via frontal lobe retraction.
初步显露的关键是松解额后下叶，使其可以安全地轻轻移动，而没有任何力传到经常附着于颞叶的动脉瘤顶。	The crux of the initial exposure is freeing up the posterior subfrontal lobe so that it can be safely and gently mobilized without any transmission of force to the aneurysm dome that is frequently adherent to the temporal lobe.
图7：图示硬膜内的初步显露。	Figure 7: Initial intradural exposure is illustrated.
当硬脑膜翻起时能够平眶顶和骨窗前缘，说明蝶骨嵴已经充分磨除。	Adequate sphenoid wing removal is evident when the dura can be mobilized flat over the orbital roof and along the anterior edge of the craniotomy.
沿嗅束外侧将额叶轻轻抬起，给外侧裂前缘的蛛网膜带施加张力。	Initial gentle elevation of the frontal lobe just lateral to the olfactory tract places the arachnoid bands over the anterior limb of the Sylvian fissure on stretch.
随后术者既可以打开视神经颈动脉池以松解额叶，也可以分离外侧裂水平部。	The surgeon’s attention then turns to either opening the opticocarotid cistern and freeing up the frontal lobe or opening the horizontal part of the Sylvian fissure.
调整手术显微镜的视角，使物镜看起来略后，垂直于大脑外侧裂水平段。	The angle of view for the operating microscope is adjusted so the camera looks slightly posterior, perpendicular to the horizontal segment of the Sylvian fissure.
对于PCoA动脉瘤，不必要将外侧裂广泛解剖，通常只需要将前部做局限性分离（开放蝶骨嵴段）就足够了。	A generous fissure split is unnecessary for PCoA aneurysms, and only a conservative anterior split (opening the sphenoidal segment) is often adequate.
图8：轻柔抬起额叶，释放脑脊液，可见覆盖大脑外侧裂近端增厚的蛛网膜层。	Figure 8: Gentle elevation of the frontal lobe permits cerebrospinal fluid egress and visualization of the thickened arachnoid layers covering the proximal Sylvian fissure.
覆盖大脑外侧裂水平部的蛛网膜比覆盖外侧裂远端的厚，但通常更容易分离。	The arachnoid membranes over the horizontal part of the Sylvian fissure are thicker than those over the most distal section of the fissure and are usually easier to dissect.
厚的蛛网膜层由两层膜组成——额叶和颞叶蛛网膜。	The thicker arachnoid layers are made up of two leaflets of arachnoid—those of the frontal and temporal lobes.
最初打开这一层可以使用蛛网膜刀或向上的11号尖刀，此后在侧裂浅静脉上继续分离。	This layer can be initially opened either using an arachnoid knife or an upturned No. 11 blade knife. The dissection is continued above the superficial Sylvian vein.
表层分离结束后，向内侧颈动脉池方向继续分离。	Once the superficial layer is incised, the arachnoidal incision is carried medially toward the carotid cistern.
在使用显微剪刀前，用剥离子将蛛网膜从脑组织和静脉表面分开，以保护下方组织。	A fine dissector frees up the arachnoid from the underlying brain and veins prior to the use of microscissors.
图9：笔者首先打开视神经颈动脉池释放脑脊液，然后进行外侧裂分离。	Figure 9: I initially open the opticocarotid cisterns to drain cerebrospinal fluid, and then proceed with the Sylvian fissure split.
笔者习惯使用蛛网膜刀打开外侧裂前缘增厚的蛛网膜浅层。	I use an arachnoid knife to open the thickened superficial arachnoid layers over the anterior limb of the Sylvian fissure.
在侧裂内侧分离过程中，笔者用残余的蝶骨嵴边界作为标志或路图以避免器械“四处徘徊”，导致软膜下损伤。	During medial fissure dissection, I use the remaining borders of the sphenoid ridge as a landmark or roadmap to avoid “wandering around” and causing subpial injury.
在出现稠密的蛛网膜下腔出血时，由于分离层面很难识别，路图/标志物是特别必要的。	This road map is especially imperative in the presence of dense subarachnoid hemorrhage because the planes of dissection are difficult to identify.
图10：调整显微镜的视线垂直于外侧裂的水平部。	Figure 10: The microscope’s line of sight is directed perpendicular to the axis of the horizontal fissure.
使用显微剪刀“从内到外”的分离侧裂；在锐性剪开前，用钝球头探子分离和移开缠绕的血管，使其远离蛛网膜层。	Microscissors are used to dissect the fissure using an “inside-to-outside” technique; a blunt ball-tip probe dissects and mobilizes the entangled vessels away from the arachnoid layers before using the microscissors.
图11：在通过外侧裂最近端，可见桥静脉的存在，可以将其牺牲而无明显后果。	Figure 11: Across the very proximal Sylvian fissure, a bridging vein is present that can be sacrificed with impunity.
离断后，额叶和颞叶可以更容易分离。	Once divided, the frontal and temporal lobes can be more readily separated.
图12：利用双极电凝的撑开动作，在外侧裂前部分离精细的蛛网膜带，从外侧裂深部松解额叶。	Figure 12: The spring action of the bipolar forceps may be used to dissect the delicate arachnoid bands within the anterior fissure, detaching the frontal lobe at the depth of the fissure.
图13：将致密的内侧表面蛛网膜层打开后，可见覆盖视神经颈内动脉池的厚的皱褶蛛网膜带，沿水平方向打开，前方达视交叉前池，后方达颈内动脉。	Figure 13: Once the dense medial superficial arachnoid layer is severed, the thick veil of arachnoid band over the opticocarotid cisterns can be seen and opened horizontally as far as the prechiasmatic cistern and posteriorly over the carotid artery.
蛛网膜分离进一步向外侧延伸，即可到达最初打开外侧裂的切口，这两个蛛网膜切口沿颈内动脉前方汇合。	Further lateral extension of this arachnoid opening will meet the initial Sylvian fissure split, and these two arachnoid incisions unite along the anterior aspect of the internal carotid artery.
如果最初的蛛网膜分离无法充分松解脑组织，可在颈内动脉和视神经之间切开liliequist膜进一步从脚间池释放脑脊液。	If the initial arachnoid openings did not achieve adequate brain relaxation, the membrane of Liliequist is incised between the carotid artery and optic nerve to facilitate further egress of cerebrospinal fluid from the interpeduncular cisterns.
如必要释放额外脑脊液，也可锐性打开终板，再根据术中情况分离外侧裂，即可暴露颈动脉分叉部。	If additional cerebrospinal fluid release is deemed necessary, the lamina terminalis may be sharply opened. Additional Sylvian fissure opening may be tailored at this time to expose the carotid artery bifurcation.
一旦打开视神经颈动脉池，继续向内侧分离，锐性松解直回至视交叉的蛛网膜系带，直至显露对侧视神经为止。	Once the opticocarotid cistern is opened, the dissection proceeds medially, shapely freeing up the attachments of the gyrus rectus to the optic chiasm. This maneuver should continue as far as the contralateral optic nerve.
